molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
hydroxylamine,5,-24.982765,5.415528,514.644,64,0.036837,NONE,-24.992706,5.422846,2382.122,26,0.046125,0.009940999999997757,0.009940999999997757,-0.007317999999999714,0.007317999999999714,-1867.4779999999998,1867.4779999999998,38,38,-0.009287999999999998,0.009287999999999998,deepseek
isopropanol,12,,,,0,,Geometry defect - Atom overlap / extreme clash,-63.850761,5.554362,3039.475,19,0.048471,,,,,,,-19,19,,,deepseek
methane,5,-23.975134,8.996542,33.435,6,0.049776,NONE,-23.975148,8.995076,510.373,7,0.029539,1.4000000000180535e-05,1.4000000000180535e-05,0.0014660000000006335,0.0014660000000006335,-476.938,476.938,-1,1,0.020237,0.020237,deepseek
methanol,6,-30.579102,5.62596,190.082,26,0.038114,NONE,-30.585357,5.626043,1261.215,13,0.048983,0.0062549999999994554,0.0062549999999994554,-8.300000000005525e-05,8.300000000005525e-05,-1071.1329999999998,1071.1329999999998,13,13,-0.010868999999999997,0.010868999999999997,deepseek
methyl_acetate,11,-63.625724,5.445399,339.951,26,0.04846,NONE,-63.647055,5.3677,3100.616,19,0.04423,0.02133100000000354,0.02133100000000354,0.07769899999999996,0.07769899999999996,-2760.665,2760.665,7,7,0.004230000000000005,0.004230000000000005,deepseek
morpholine,15,,,,8,,Geometry defect - Uniformly compressed structure,-84.112704,4.643795,5715.669,31,0.03772,,,,,,,-23,23,,,deepseek
naphthalene,18,,,,0,,Geometry defect - Non-bonded H-H / heavy-atom clash,-119.444487,3.388021,3560.178,14,0.045045,,,,,,,-14,14,,,deepseek
nitrogen,2,-17.027147,8.293878,60.479,14,0.049402,NONE,-17.027868,8.297115,1007.617,16,0.011747,0.0007210000000021921,0.0007210000000021921,-0.0032370000000003785,0.0032370000000003785,-947.1379999999999,947.1379999999999,-2,2,0.037655,0.037655,deepseek
nitrous_oxide,3,-22.226921,6.718068,132.393,22,0.020312,NONE,-22.22877,6.71916,1060.713,11,0.034024,0.0018489999999999895,0.0018489999999999895,-0.0010919999999998709,0.0010919999999998709,-928.3199999999999,928.3199999999999,11,11,-0.013711999999999998,0.013711999999999998,deepseek
phenol,13,-83.049325,4.270254,233.426,16,0.046198,NONE,-83.047851,4.2699,2642.709,15,0.049534,-0.0014740000000017517,0.0014740000000017517,0.0003540000000006316,0.0003540000000006316,-2409.283,2409.283,1,1,-0.0033359999999999987,0.0033359999999999987,deepseek
propene,9,-48.495955,5.239007,296.403,29,0.042061,NONE,-48.582149,5.470014,1120.193,10,0.041208,0.086193999999999,0.086193999999999,-0.23100699999999996,0.23100699999999996,-823.79,823.79,19,19,0.0008529999999999996,0.0008529999999999996,deepseek
propionic_acid,11,,,,1,,Geometry defect - Uniformly compressed structure,-64.074747,5.358597,2498.394,16,0.045193,,,,,,,-15,15,,,deepseek
pyridine,11,-71.299776,4.036904,268.347,29,0.045854,NONE,-71.294542,4.042145,3000.886,19,0.04903,-0.005233999999987304,0.005233999999987304,-0.005240999999999829,0.005240999999999829,-2732.5389999999998,2732.5389999999998,10,10,-0.0031759999999999983,0.0031759999999999983,deepseek
salicylic_acid,16,-106.66241,3.54643,292.577,20,0.045005,NONE,-106.61928,3.598288,6662.001,25,0.048715,-0.04312999999999079,0.04312999999999079,-0.05185800000000018,0.05185800000000018,-6369.424,6369.424,-5,5,-0.003709999999999998,0.003709999999999998,deepseek
styrene,16,,,,0,,Geometry defect - Compressed ring geometry,-100.767559,3.776135,4856.79,24,0.049692,,,,,,,-24,24,,,deepseek
sulfur_dioxide,3,-17.673602,3.506436,66.517,14,0.047666,NONE,-17.690097,3.50809,520.107,6,0.047686,0.01649500000000259,0.01649500000000259,-0.0016540000000002664,0.0016540000000002664,-453.59,453.59,8,8,-1.9999999999999185e-05,1.9999999999999185e-05,deepseek
tetrahydrofuran,13,-71.834506,5.07731,903.047,89,0.039285,NONE,-72.289528,4.91263,1923.833,10,0.035834,0.4550219999999996,0.4550219999999996,0.16467999999999972,0.16467999999999972,-1020.7860000000001,1020.7860000000001,79,79,0.0034510000000000027,0.0034510000000000027,deepseek
thiophene,9,-54.060782,4.4781,129.592,16,0.040056,NONE,-54.070577,4.479394,1651.166,12,0.031376,0.00979499999999689,0.00979499999999689,-0.0012939999999996843,0.0012939999999996843,-1521.5739999999998,1521.5739999999998,4,4,0.00868,0.00868,deepseek
toluene,15,-92.501132,4.810779,338.213,32,0.041065,NONE,-92.513964,4.820273,2746.088,15,0.037802,0.012832000000003063,0.012832000000003063,-0.009494000000000113,0.009494000000000113,-2407.875,2407.875,17,17,0.003262999999999995,0.003262999999999995,deepseek
undecane,35,,,,0,,Geometry defect - Non-bonded H-H / heavy-atom clash,-188.830525,6.425744,4774.689,20,0.046798,,,,,,,-20,20,,,deepseek
urea,8,-48.506085,4.89072,177.743,25,0.035777,NONE,-48.502768,4.892224,3083.509,28,0.036074,-0.0033169999999955735,0.0033169999999955735,-0.0015039999999997278,0.0015039999999997278,-2905.766,2905.766,-3,3,-0.00029699999999999865,0.00029699999999999865,deepseek
valeric_acid,17,,,,0,,Geometry defect - Uniformly compressed structure,-97.056576,5.362997,2630.967,13,0.049973,,,,,,,-13,13,,,deepseek
water,3,-14.620623,6.263208,21.604,5,0.045482,NONE,-14.621105,6.262384,308.046,5,0.039662,0.0004819999999998714,0.0004819999999998714,0.0008239999999997139,0.0008239999999997139,-286.442,286.442,0,0,0.005819999999999999,0.005819999999999999,deepseek
