source_model,n_compared,mean_abs_diff_final_energy_eV,median_abs_diff_final_energy_eV,mean_diff_final_energy_eV,mean_abs_diff_homo_lumo_gap_eV,median_abs_diff_homo_lumo_gap_eV,mean_diff_homo_lumo_gap_eV,mean_abs_diff_wall_time_s,median_abs_diff_wall_time_s,mean_diff_wall_time_s,mean_abs_diff_relaxation_steps,median_abs_diff_relaxation_steps,mean_diff_relaxation_steps,mean_abs_diff_max_force_eV_per_A,median_abs_diff_max_force_eV_per_A,mean_diff_max_force_eV_per_A
claude,86,0.12464883720930264,0.01279600000000869,0.1181156744186052,0.09553568604651164,0.010996000000000006,-0.06846468604651161,1372.0817558139534,594.8820000000001,1021.3511511627906,6.8604651162790695,3.5,3.953488372093023,0.005823255813953488,0.004012500000000002,0.0008073023255813956
deepseek,66,0.3860163673469385,0.012045000000000528,0.36022081632653125,0.3063690612244898,0.010411999999999644,-0.16240869387755094,1716.942775510204,1071.1329999999998,-1716.942775510204,20.106060606060606,13.0,10.833333333333334,0.008877795918367347,0.006095999999999997,0.0026717959183673473
gemini,80,0.22349916250000001,0.006599500000000091,0.22053603750000034,0.14900533749999995,0.013501499999999833,-0.12561518749999995,3452.9919375,1502.7354999999998,3279.3908625000004,16.2375,9.0,14.3375,0.0072156125,0.005856,-0.00018406249999999968
llama,49,1.1009774324324328,0.13945400000000063,1.098624513513514,0.9957866756756755,0.13768199999999986,-0.9332721351351352,1346.6200000000001,934.326,-1346.6200000000001,23.163265306122447,15.0,14.224489795918368,0.009609756756756755,0.007350000000000002,0.0008317027027027024
mistral,60,0.1845440350877183,0.007013999999998077,0.17928912280701773,0.15687826315789474,0.006177000000000099,-0.10909401754385968,1774.740245614035,1519.8270000000002,-1774.740245614035,20.916666666666668,11.0,18.183333333333334,0.007138543859649122,0.005666000000000004,0.001027140350877193
openai,58,0.08523908620689635,0.0031520000000035964,0.06217036206896518,0.0652287068965517,0.0077945000000001485,-0.056127120689655106,3225.2813793103446,1194.5085000000004,3049.337931034483,15.913793103448276,6.5,14.568965517241379,0.007631724137931036,0.0059875,0.0022745862068965514
