molecule_name,atom_count_total,final_energy_eV,homo_lumo_gap_eV,wall_time_s,relaxation_steps,max_force_eV_per_A,failure_category,final_energy_eV_pubchem,homo_lumo_gap_eV_pubchem,wall_time_s_pubchem,relaxation_steps_pubchem,max_force_eV_per_A_pubchem,final_energy_eV_diff,final_energy_eV_abs_diff,homo_lumo_gap_eV_diff,homo_lumo_gap_eV_abs_diff,wall_time_s_diff,wall_time_s_abs_diff,relaxation_steps_diff,relaxation_steps_abs_diff,max_force_eV_per_A_diff,max_force_eV_per_A_abs_diff,source_model
chloromethane,5,-22.292085,6.186446,102.125,14,0.040231,NONE,-22.292052,6.19888,817.72,10,0.046916,-3.2999999998395424e-05,3.2999999998395424e-05,-0.012433999999999834,0.012433999999999834,-715.595,715.595,4,4,-0.0066849999999999965,0.0066849999999999965,mistral
cyclohexane,18,-98.877996,6.447895,740.525,60,0.038014,NONE,-98.876852,6.445152,2519.007,13,0.040397,-0.0011439999999964812,0.0011439999999964812,0.002742999999999718,0.002742999999999718,-1778.482,1778.482,47,47,-0.002383000000000003,0.002383000000000003,mistral
cyclopentane,15,-81.978323,6.553896,313.058,21,0.025773,NONE,-82.172276,6.746483,2406.381,14,0.04789,0.19395299999999338,0.19395299999999338,-0.19258699999999962,0.19258699999999962,-2093.323,2093.323,7,7,-0.022117,0.022117,mistral
dichloromethane,5,-20.628991,5.753046,92.449,11,0.044804,NONE,-20.62878,5.750158,665.047,7,0.019785,-0.00021100000000018326,0.00021100000000018326,0.0028880000000004458,0.0028880000000004458,-572.5980000000001,572.5980000000001,4,4,0.025018999999999996,0.025018999999999996,mistral
diethyl_ether,15,-79.819407,5.241633,544.983,49,0.047567,NONE,-79.984341,5.268817,1984.261,11,0.040333,0.16493400000000236,0.16493400000000236,-0.027184000000000097,0.027184000000000097,-1439.278,1439.278,38,38,0.007233999999999997,0.007233999999999997,mistral
dimethyl_ether,9,-46.721903,5.384501,409.986,51,0.043472,NONE,-46.724089,5.384276,1306.506,11,0.038675,0.0021860000000017976,0.0021860000000017976,0.0002250000000003638,0.0002250000000003638,-896.5200000000001,896.5200000000001,40,40,0.004796999999999996,0.004796999999999996,mistral
ethane,8,-40.295673,7.615787,86.03,11,0.029062,NONE,-40.408479,7.662519,1187.947,12,0.033475,0.11280599999999907,0.11280599999999907,-0.04673199999999955,0.04673199999999955,-1101.917,1101.917,-1,1,-0.004412999999999997,0.004412999999999997,mistral
ethanol,9,-47.21146,5.583252,136.065,20,0.042323,NONE,-47.213978,5.586483,1812.448,15,0.049093,0.002517999999994913,0.002517999999994913,-0.003231000000000428,0.003231000000000428,-1676.383,1676.383,5,5,-0.006769999999999998,0.006769999999999998,mistral
ethyl_acetate,14,-78.642191,3.695448,953.813,49,0.046482,NONE,-80.263962,5.332237,2654.374,13,0.045089,1.6217710000000096,1.6217710000000096,-1.6367890000000003,1.6367890000000003,-1700.5609999999997,1700.5609999999997,36,36,0.0013930000000000053,0.0013930000000000053,mistral
ethyl_formate,11,-63.337235,5.217713,698.842,62,0.036189,NONE,-63.474816,5.331124,1901.896,11,0.04744,0.1375809999999973,0.1375809999999973,-0.11341100000000015,0.11341100000000015,-1203.054,1203.054,51,51,-0.011251000000000004,0.011251000000000004,mistral
ethylamine,10,-52.297351,4.793739,405.117,50,0.049248,NONE,-52.299661,4.818131,4101.986,36,0.041406,0.0023100000000013665,0.0023100000000013665,-0.024391999999999747,0.024391999999999747,-3696.8689999999997,3696.8689999999997,14,14,0.007842000000000002,0.007842000000000002,mistral
ethylbenzene,18,-108.983,4.766246,588.185,33,0.038259,NONE,-108.990014,4.85,3128.673,14,0.040498,0.007013999999998077,0.007013999999998077,-0.08375399999999988,0.08375399999999988,-2540.488,2540.488,19,19,-0.002238999999999998,0.002238999999999998,mistral
ethylene,6,-31.909254,5.673659,47.194,12,0.049999,NONE,-31.909424,5.673316,881.587,12,0.044323,0.00017000000000066962,0.00017000000000066962,0.0003429999999999822,0.0003429999999999822,-834.393,834.393,0,0,0.0056760000000000005,0.0056760000000000005,mistral
formaldehyde,4,-22.577389,3.579373,43.979,7,0.045376,NONE,-22.576494,3.579879,423.353,5,0.035449,-0.0008949999999998681,0.0008949999999998681,-0.0005060000000001175,0.0005060000000001175,-379.374,379.374,2,2,0.009926999999999998,0.009926999999999998,mistral
furan,9,-51.108904,2.397071,967.488,90,0.025195,NONE,-56.858601,4.747648,1770.032,11,0.035161,5.749696999999998,5.749696999999998,-2.350577,2.350577,-802.5439999999999,802.5439999999999,79,79,-0.009966,0.009966,mistral
hydrazine,6,-30.391459,4.017951,386.9,42,0.043183,NONE,-30.505842,4.97477,3353.942,31,0.046289,0.11438300000000012,0.11438300000000012,-0.9568190000000003,0.9568190000000003,-2967.042,2967.042,11,11,-0.0031059999999999977,0.0031059999999999977,mistral
hydrogen_peroxide,4,-18.948398,4.165883,31.151,7,0.042459,NONE,-18.966286,5.000717,989.703,13,0.028616,0.017887999999999238,0.017887999999999238,-0.8348339999999999,0.8348339999999999,-958.552,958.552,-6,6,0.013842999999999998,0.013842999999999998,mistral
hydrogen_sulfide,3,-11.0859,5.369891,53.831,10,0.031145,NONE,-11.082202,5.366914,406.495,7,0.025035,-0.003697999999999979,0.003697999999999979,0.0029769999999995633,0.0029769999999995633,-352.664,352.664,3,3,0.006109999999999997,0.006109999999999997,mistral
hydroxylamine,5,-24.983441,5.414424,492.828,70,0.033762,NONE,-24.992706,5.422846,2382.122,26,0.046125,0.00926499999999919,0.00926499999999919,-0.008421999999999485,0.008421999999999485,-1889.2939999999999,1889.2939999999999,44,44,-0.012362999999999999,0.012362999999999999,mistral
isopropanol,12,-63.850344,5.550039,868.504,87,0.042871,NONE,-63.850761,5.554362,3039.475,19,0.048471,0.00041699999999877946,0.00041699999999877946,-0.004323000000000299,0.004323000000000299,-2170.971,2170.971,68,68,-0.005600000000000001,0.005600000000000001,mistral
methane,5,-23.975151,8.99641,31.609,6,0.048593,NONE,-23.975148,8.995076,510.373,7,0.029539,-2.9999999995311555e-06,2.9999999995311555e-06,0.0013339999999999463,0.0013339999999999463,-478.764,478.764,-1,1,0.019053999999999998,0.019053999999999998,mistral
methanol,6,-30.534852,5.564851,99.768,15,0.040672,NONE,-30.585357,5.626043,1261.215,13,0.048983,0.05050499999999758,0.05050499999999758,-0.061192000000000135,0.061192000000000135,-1161.447,1161.447,2,2,-0.008310999999999999,0.008310999999999999,mistral
naphthalene,18,,,,0,,Geometry defect - Atom overlap / extreme clash,-119.444487,3.388021,3560.178,14,0.045045,,,,,,,-14,14,,,mistral
nitrogen,2,-17.027307,8.294716,67.288,16,0.020697,NONE,-17.027868,8.297115,1007.617,16,0.011747,0.0005610000000011439,0.0005610000000011439,-0.002399000000000484,0.002399000000000484,-940.329,940.329,0,0,0.00895,0.00895,mistral
nitrous_oxide,3,-22.226921,6.718068,160.449,22,0.020312,NONE,-22.22877,6.71916,1060.713,11,0.034024,0.0018489999999999895,0.0018489999999999895,-0.0010919999999998709,0.0010919999999998709,-900.2639999999999,900.2639999999999,11,11,-0.013711999999999998,0.013711999999999998,mistral
octane,26,-139.367428,6.647681,1330.755,50,0.049531,NONE,-139.352549,6.630463,4100.185,16,0.048516,-0.014878999999979214,0.014878999999979214,0.01721800000000062,0.01721800000000062,-2769.4300000000003,2769.4300000000003,34,34,0.001015000000000002,0.001015000000000002,mistral
